sample_size,trial,model,test_auc,test_accuracy,test_rmse
50,0,Standard BKT,0.6869796869796868,0.675,0.46272016365825525
50,0,BKT with Forgetting,0.7889546351084812,0.73,0.4329088935485151
50,1,Standard BKT,0.6788928169693075,0.6932668329177057,0.4534250894978087
50,1,BKT with Forgetting,0.7577133215490921,0.71571072319202,0.4457257750924651
100,0,Standard BKT,0.7116408202857818,0.6836861768368617,0.45928948442902395
100,0,BKT with Forgetting,0.7342185770603523,0.6924034869240349,0.4530844574633984
100,1,Standard BKT,0.692842618170657,0.6423173803526449,0.47073084022292694
100,1,BKT with Forgetting,0.7194438049928381,0.6662468513853904,0.46233121641898406
200,0,Standard BKT,0.740638865596855,0.6862491930277599,0.4527825608743136
200,0,BKT with Forgetting,0.754671231528097,0.6927049709489993,0.44936861117332466
200,1,Standard BKT,0.7052134351386635,0.6484276729559748,0.46699428317495795
200,1,BKT with Forgetting,0.711902520077541,0.6616352201257861,0.4639427052736123
